Date,Bullish,Neutral,Bearish,Total,Bullish 8-Week Mov Avg,Bull-Bear Spread,Bullish Average,Bullish Average + St. Dev,Bullish Average - St. Dev,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
2001-11-30,0.6933,0.1067,0.2,1.0,0.508175,0.4933,0.384907436629,0.48829287048,0.281522002778,1163.38,1125.51,1139.45
2001-10-31,0.5588,0.2647,0.1765,1.0,0.4427875,0.3823,0.384907436629,0.48829287048,0.281522002778,1110.61,1065.64,1104.61
2001-09-30,0.5111,0.2667,0.2222,1.0,0.3443375,0.2889,0.384907436629,0.48829287048,0.281522002778,1040.94,965.8,1040.94
2001-08-31,0.3143,0.4571,0.2286,1.0,0.346775,0.0857,0.384907436629,0.48829287048,0.281522002778,1186.85,1124.87,1133.58
2001-07-31,0.2952,0.3238,0.381,1.0,0.352875,-0.0858,0.384907436629,0.48829287048,0.281522002778,1215.22,1165.54,1205.82
2001-06-30,0.3038,0.3671,0.3291,1.0,0.4413875,-0.0253,0.384907436629,0.48829287048,0.281522002778,1237.29,1204.64,1224.38
2001-05-31,0.4935,0.2208,0.2857,1.0,0.5005625,0.2078,0.384907436629,0.48829287048,0.281522002778,1278.42,1245.96,1260.67
2001-04-30,0.4655,0.2241,0.3103,0.9999,0.3541375,0.1552,0.384907436629,0.48829287048,0.281522002778,1253.07,1207.38,1253.05
2001-03-31,0.3725,0.3529,0.2745,0.9999,0.3572875,0.098,0.384907436629,0.48829287048,0.281522002778,1183.35,1136.26,1160.33
2001-02-28,0.2632,0.3509,0.386,1.0001,0.4080375,-0.1228,0.384907436629,0.48829287048,0.281522002778,1336.62,1293.18,1301.53
2001-01-31,0.4923,0.2462,0.2615,1.0,0.4273875,0.2308,0.384907436629,0.48829287048,0.281522002778,1354.55,1313.33,1342.54
2000-12-31,0.4,0.28,0.32,1.0,0.4792625,0.08,0.384907436629,0.48829287048,0.281522002778,1346.44,1254.07,1305.95
2000-11-30,0.6042,0.2292,0.1667,1.0001,0.5146,0.4375,0.384907436629,0.48829287048,0.281522002778,1367.72,1321.89,1341.77
